SP ID	Nationality
1616	German
1617	American
1618	German?
1619	German?
1620	Russian?
1621	French
1622	German
1623	Latvian
1624	Russian
1625	German
1626	German
1627	Danish
1628	German
1629	Russian
1630	English
1631	French
1632	English
1633	English
1634	English
1635	French
1636	French
1637	French
1638	French
1639	French
1640	French
1641	French
1642	French
1643	French
1644	French
1645	Scottish
1646	English
1647	?
1648	French
1649	French
1650	French
1651	French
1652	French
1653	French
1654	French
1655	French
1656	French
1657	French
1658	French
1659	French
1660	French
1661	French
1662	French
1663	French
1664	French
1665	Swiss
1666	French
1667	French
1668	French
1669	French
1670	French
1671	French
1672	French
1673	French
1675	French
1676	French
1677	French
1678	French
1679	French
1680	French
1681	Scottish
1682	French
1683	French
1684	French
1685	French
1686	French
1687	Swiss
1688	French
1689	French
1690	French
1691	French
1692	French
1693	French
1694	French
1695	French
1696	French
1697	French
1698	French
1699	French
1700	French
1701	Swiss
1702	French
1703	French
1704	French
1705	French
1706	French
1707	French
1708	French
1709	French
1710	English?
1711	French
1712	French
1713	French
1714	French
1715	French
1716	French
1717	French
1718	French
1719	French
1720	French
1721	English
1722	French
1723	French
1724	French
1725	French
1726	French
1727	French
1728	French
1729	French
1730	French
1731	French
1732	French
1733	French
1734	French
1735	French
1736	French
1737	French
1738	French
1739	French
1740	French
1741	French
1742	French
1743	French
1744	French
1745	French
1746	French
1747	French
1748	French
1749	Russian
1750	Russian
1751	French
1752	French
1753	French
1754	Irish
1755	Scottish
1756	Italian
1757	Italian
1758	Italian
1759	Swiss
1760	French
1761	Scottish
1762	French
1763	French
1764	French
1765	French
1766	French
1767	English
1768	English
1769	Irish
1770	English
1771	French
1772	French
1773	French
1774	German
1775	German
1776	Italian
1777	Scottish
1778	German
1779	French
1780	German
1781	English
