SP ID	Academies
1407	French Academy
1407	Academy of Inscriptions
1407	Académie des sciences
1408	French Academy
1408	Academy of Inscriptions
1409	French Academy
1410	French Academy
1411	French Academy
1411	Académie des sciences
1412	French Academy
1412	Académie des sciences
1415	French Academy
1415	Academy of Bordeaux
1420	French Academy
1422	French Academy
1424	French Academy
1425	French Academy
1425	Academy of Inscriptions
1428	French Academy
1428	Academy of Inscriptions
1429	French Academy
1429	Académie des sciences
1429	Academy of Inscriptions
1431	French Academy
1432	French Academy
1446	French Academy
1446	Academy of Rouen
1448	Philosophical Society of Edinburgh
1449	Academy of La Rochelle
1449	Académie des sciences
1449	Société de médecine de Paris
1451	Academy of Inscriptions
1454	French Academy
1459	Académie des jeux floraux
1462	Royal Society
1468	French Academy
1472	Academy of Rouen
1473	French Academy
1473	Academy of Lyon
1473	Royal Society
1473	St Petersburg Academy
1473	Berlin Academy
1474	French Academy
1474	Académie des jeux floraux
1474	Academy of Rouen
1475	French Academy
1476	Royal Society
1476	RoyalSociety_Edinburg
1476	St Petersburg Academy
1477	Académie des sciences
1481	French Academy
1481	Académie des sciences
1483	Académie des sciences
1484	French Academy
1484	Academy of Aix-en-Provence
1489	Société littéraire de Montauban
1489	Berlin Academy
1490	French Academy
1490	Academy de La Rochelle
1494	Academy of Dijon
1521	French Academy
1553	Ricovrati
1560	French Academy
1573	French Academy
1573	Academy of Inscriptions
1574	French Academy
1575	French Academy
1575	Académie des sciences
1575	Royal Swedish Academy of Sciences
1575	St Petersburg Academy
1598	French Academy
1601	French Academy
1605	French Academy
1605	Académie des sciences morales et politiques
1608	French Academy
1608	Académie des sciences morales et politiques
1609	Royal Swedish Academy of Sciences
1612	American Academy of Arts and Sciences
1632	Royal Society
1633	French Academy
1633	Royal Society
1635	French Academy
1637	Academy of Inscriptions
1637	Academy of La Rochelle
1637	Academy of Lyon
1639	French Academy
1648	Academy of Inscriptions
1661	French Academy
1661	Royal Society
1661	Academy of Inscriptions
1662	French Academy
1663	French Academy
1664	French Academy
1665	Académie royale de chirurgie de Paris
1665	Académie des sciences
1665	Royal Swedish Academy of Sciences
1665	Royal Society
1666	French Academy
1667	Academy of La Rochelle
1668	Académie des sciences
1668	Royal Society
1668	Royal Swedish Academy of Sciences
1668	Academy of Rouen
1668	Academy of Bordeaux
1668	Société de Béziers
1669	Académie royale d’architecture
