SP ID	EgoNetworksCombined
1155	Holbach
1156	Voltaire
1156	Deffand
1156	Holbach
1156	Encyclopedistes
1157	Rousseau
1157	Encyclopedistes
1157	Holbach
1157	Epinay
1158	Voltaire
1158	Rousseau
1158	Encyclopedistes
1158	Holbach
1158	Dupin
1158	Geoffrin
1158	Epinay
1158	Lespinasse
1158	Quinault
1158	Boufflers
1158	Necker
1159	Encyclopedistes
1159	Holbach
1159	Epinay
1160	Voltaire
1160	D'Alembert
1160	Hume
1160	Holbach
1160	Epinay
1160	Lespinasse
1160	Tencin
1160	Geoffrin
1160	Necker
1161	Entresol
1162	Entresol
1163	Entresol
1164	Voltaire
1164	D'Alembert
1164	Hume
1164	Entresol
1164	Deffand
1164	Tencin
1165	Hume
1165	Encyclopedistes
1165	Entresol
1165	Dupin
1165	Graffigny
1165	Prie
1165	Epinay
1165	Tencin
1165	Geoffrin
1165	Deffand
1166	Entresol
1167	Voltaire
1167	Entresol
1167	Necker
1168	Voltaire
1168	D'Alembert
1168	Epinay
1169	Epinay
1170	Epinay
1170	Geoffrin
1171	Voltaire
1171	Rousseau
1171	Epinay
1171	Houdetot
1171	Holbach
1172	D'Alembert
1172	Epinay
1172	Lespinasse
1173	Rousseau
1173	Epinay
1173	Quinault
1174	Voltaire
1174	D'Alembert
1174	Rousseau
1174	Epinay
1174	Quinault
1174	Holbach
1175	Genlis
1176	Genlis
1177	Genlis
1178	Genlis
1179	Genlis
1180	Genlis
1181	Genlis
1182	Genlis
1183	Genlis
1184	Genlis
1185	Genlis
1186	Genlis
1187	Genlis
1188	Genlis
1189	Genlis
1190	Genlis
1191	Genlis
1192	Genlis
1193	Genlis
1194	Genlis
1195	Genlis
1196	Genlis
1197	Genlis
1198	Genlis
1199	Genlis
1200	Genlis
1201	Genlis
1202	Genlis
1203	Genlis
1204	Genlis
1204	Stael
1205	Genlis
1205	Stael
1206	Geoffrin
1207	Hume
1207	ASmith
1207	Geoffrin
1207	Holbach
1207	Stormont
1208	Voltaire
1208	D'Alembert
1208	Geoffrin
1208	Deffand
1208	Holbach
1208	Necker
1208	Lespinasse
1208	DeLaMarck
1208	Luxembourg
1208	Praslin
1208	Stormont
1209	Geoffrin
1210	DeLaMarck
1211	DeLaMarck
1211	Luxembourg
1212	DeLaMarck
1212	Luxembourg
1213	LaReyniere
1214	LaReyniere
1215	LaReyniere
1216	LaReyniere
1217	LaReyniere
1218	LaReyniere
1219	LaReyniere
1220	LaReyniere
1221	LaReyniere
1222	Voltaire
1222	D'Alembert
1222	Necker
1222	Deffand
1222	Graffigny
1222	Beauvau
1223	Necker
1224	Stormont
1225	Stormont
1225	Necker
1226	Geoffrin
1227	Necker
1228	Voltaire
1228	Hume
1228	Trudaine
1229	Trudaine
1230	Voltaire
1230	Geoffrin
1231	Geoffrin
1232	Voltaire
1232	Rousseau
1232	Geoffrin
1232	Graffigny
1232	Deffand
1233	Geoffrin
1234	Geoffrin
1235	Geoffrin
1236	Geoffrin
1237	Geoffrin
1238	Geoffrin
1239	Geoffrin
1240	Geoffrin
1241	Geoffrin
1242	Geoffrin
1243	Geoffrin
1244	Geoffrin
1245	Geoffrin
1246	Geoffrin
1247	Geoffrin
1248	Geoffrin
1249	Geoffrin
1250	Geoffrin
1250	Deffand
1250	DeLaValliere
1251	Geoffrin
1252	Geoffrin
1252	Encyclopedistes
1253	Geoffrin
1254	Geoffrin
1255	Geoffrin
1256	Geoffrin
1257	Geoffrin
1258	Geoffrin
1258	Deffand
1258	Lespinasse
1258	Beauvau
1258	Graffigny
1258	Beauvau
1258	Mirepoix
1259	Geoffrin
1260	Geoffrin
1261	Geoffrin
1262	Geoffrin
1263	Geoffrin
1264	Geoffrin
1265	Geoffrin
1266	Geoffrin
1267	Geoffrin
1268	Geoffrin
1269	Geoffrin
1270	Geoffrin
1271	Geoffrin
1272	Geoffrin
1273	Geoffrin
1274	Geoffrin
1275	Geoffrin
1276	Geoffrin
1276	Boufflers
1277	Voltaire
1277	D'Alembert
1277	Rousseau
1277	Geoffrin
1277	Encyclopedistes
1278	Rousseau
1278	Geoffrin
1279	Geoffrin
1279	Helvetius
1279	Graffigny
1279	Minette
1280	Geoffrin
1280	Holbach
1280	Encyclopedistes
1281	Voltaire
1281	D'Alembert
1281	Geoffrin
1281	Lespinasse
1281	Holbach
1281	Necker
1282	Geoffrin
1282	Nollet
1282	Reamur
1283	Geoffrin
1283	Tencin
1283	Henault
1283	Encyclopédie
1283	Chatelet
1284	Geoffrin
1285	Geoffrin
1286	Voltaire
1286	D'Alembert
1286	Geoffrin
1287	Graffigny
1288	Graffigny
1289	Graffigny
1290	Voltaire
1290	Graffigny
1291	Voltaire
1291	Graffigny
1292	Voltaire
1292	Graffigny
1293	Voltaire
1293	Graffigny
1294	Graffigny
1295	Voltaire
1295	Graffigny
1296	Voltaire
1297	Graffigny
1297	Encyclopedistes
1298	Graffigny
1299	Graffigny
1300	Graffigny
1301	Graffigny
1302	Graffigny
1303	Graffigny
1304	Graffigny
1305	Graffigny
